"1","1","Chi ha vinto lo scudetto 2022/2023?","Napoli"
"2","1","Chi ha seganto più gol nella stagione 2022/2023?","Victor Osihmen"
"3","1","Chi ha fatto più parate nella stagione 2022/2023?","Lorenzo Montipò"
"4","1","Chi ha fatto più partite vinte nella regular season 22/23 del NBA?","Milwaukee Bucks"
"5","1","Quale tra questi giocatori di calcio ha giocato nella stagione 22/23 al Bologna FC?","Marko Arnautovic"
"6","2","Quale tra questi artisti detiene il primo posto per ascolti su Spotify?","TheWeeknd"
"7","2","Da chi è stata cantata Stayin Alive nel 1977?","Bee Gees"
"8","2","Chi ha vinto l'edizione 2023 di Sanremo,"Marco Mengoni"
"9","2","Per quale motivo è stata scritta We Are The World","Per scopo di beneficenza per supportare le popolazione in Etiopia"
"10","3","Quale giocatore è diventato famoso come il migliore di League Of Legends?","Faker"
"11","3","Quale torneo di Esports fu pagato di più?","The International"
"12","3","Quale gioco ha vinto GOTY 2022?","Elden Ring"
"13","3","Quale gioco ha la community più tossica del panorama videoludico?","Valorant"
"14","4","Quale film ha ricevuto più award rispetto ad altri nel 2022?","Titanic"
"15","4","Quale attore ha vinto più oscar all-time?","Katherine Hepburn"
"16","4","Quale di questi film è animato dallo studio Ghibli?","Il Castello errante di Howl"
"17","4","Quale serie Netflix ha come main actress Jenna Ortega?","Mercoledì"
